"","Country.Region","date","CumCaseNumber","IncCaseNumber","geo","Continent","country_region"
"34203","Niger",2020-08-28,1175,2,"NE","AF","Niger"
"34204","Niger",2020-08-29,1175,0,"NE","AF","Niger"
"34205","Niger",2020-08-30,1175,0,"NE","AF","Niger"
"34206","Niger",2020-08-31,1176,1,"NE","AF","Niger"
"34207","Niger",2020-09-01,1176,0,"NE","AF","Niger"
"34208","Niger",2020-09-02,1176,0,"NE","AF","Niger"
"34209","Niger",2020-09-03,1177,1,"NE","AF","Niger"
"34210","Niger",2020-09-04,1177,0,"NE","AF","Niger"
"34211","Niger",2020-09-05,1177,0,"NE","AF","Niger"
"34212","Niger",2020-09-06,1177,0,"NE","AF","Niger"
"34213","Niger",2020-09-07,1177,0,"NE","AF","Niger"
"34214","Niger",2020-09-08,1178,1,"NE","AF","Niger"
"34215","Niger",2020-09-09,1178,0,"NE","AF","Niger"
"34216","Niger",2020-09-10,1178,0,"NE","AF","Niger"
"34217","Niger",2020-09-11,1178,0,"NE","AF","Niger"
"34218","Niger",2020-09-12,1178,0,"NE","AF","Niger"
"34219","Niger",2020-09-13,1180,2,"NE","AF","Niger"
"34220","Niger",2020-09-14,1180,0,"NE","AF","Niger"
"34221","Niger",2020-09-15,1182,2,"NE","AF","Niger"
"34222","Niger",2020-09-16,1182,0,"NE","AF","Niger"
"34223","Niger",2020-09-17,1183,1,"NE","AF","Niger"
"34224","Niger",2020-09-18,1183,0,"NE","AF","Niger"
"34225","Niger",2020-09-19,1183,0,"NE","AF","Niger"
"34226","Niger",2020-09-20,1188,5,"NE","AF","Niger"
"34227","Niger",2020-09-21,1189,1,"NE","AF","Niger"
"34228","Niger",2020-09-22,1193,4,"NE","AF","Niger"
"34229","Niger",2020-09-23,1193,0,"NE","AF","Niger"
"34230","Niger",2020-09-24,1194,1,"NE","AF","Niger"
"34231","Niger",2020-09-25,1194,0,"NE","AF","Niger"
"34232","Niger",2020-09-26,1194,0,"NE","AF","Niger"
"34233","Niger",2020-09-27,1196,2,"NE","AF","Niger"
"34234","Niger",2020-09-28,1196,0,"NE","AF","Niger"
"34235","Niger",2020-09-29,1196,0,"NE","AF","Niger"
